artist,album,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Year,Word Count,Prop Unique Words,Avg Sentiment,Prop Lines Pos,Prop Lines Neu,Prop Lines Neg
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Method Man,5XLC8xoqyua4U7wJiZAWik,59,0.903,0.519,7,-10.109,1,0.307,0.000907,0.32799999999999996,0.596,101.561,350560,4,1993,578.0,0.5778546712802768,-0.0015198198198198224,0.26126126126126126,0.5405405405405406,0.1981981981981982
2Pac,Strictly 4 My N.I.G.G.A.Z...,I Get Around,4voEoczU7Ijborps9XF1n3,69,0.846,0.41600000000000004,10,-13.767000000000001,0,0.11800000000000001,9.34e-06,0.23800000000000002,0.645,96.18799999999999,259000,4,1993,405.0,0.5185185185185185,-0.012309638554216868,0.1686746987951807,0.6385542168674698,0.1927710843373494
A Tribe Called Quest,Midnight Marauders,Steve Biko (Stir It Up),671sDyeE398eD0sdGuVbZU,51,0.853,0.494,10,-10.911,0,0.201,0.000884,0.205,0.341,95.28399999999999,191533,4,1993,370.0,0.7135135135135136,0.04042205882352941,0.2647058823529412,0.5441176470588235,0.19117647058823528
Snoop Dogg,Doggystyle,Gin And Juice (feat. Dat Nigga Daz),3xxYvfgBslsAuEIQBGr4Jn,44,0.5489999999999999,0.845,7,-4.279,1,0.2,0.000492,0.67,0.35100000000000003,94.491,211493,4,1993,372.0,0.5188172043010753,-0.05524625,0.1,0.725,0.175
Lords Of The Underground,Here Come The Lords,Chief Rocka,34MRi5GRWHFUa731JBxFEl,58,0.89,0.716,1,-9.673,1,0.29600000000000004,0.000589,0.0657,0.6559999999999999,99.98700000000001,247400,4,1993,473.0,0.5010570824524313,-0.002294318181818179,0.2840909090909091,0.5227272727272727,0.19318181818181818
Scarface,The World Is Yours,The Wall,30JqbTM4GBcSXHuJYeKJjI,23,0.728,0.615,4,-8.888,0,0.28300000000000003,1.12e-06,0.0768,0.523,82.976,277707,4,1993,368.0,0.6467391304347826,-0.30557000000000006,0.11428571428571428,0.3142857142857143,0.5714285714285714
Jeru The Damaja,The Sun Rises In The East,Come Clean - E New Y Radio,6wbBrsE2H2pupmnfoVSY6w,48,0.812,0.778,10,-13.957,0,0.292,4.39e-05,0.11,0.599,87.713,297040,4,1993,4648.0,0.346815834767642,0.018695345911949685,0.21006289308176102,0.6150943396226415,0.17484276729559747
8Ball & MJG,Comin Out Hard,The First Episode,3wxsHW6Yh2MxYQB7Auklwy,28,0.774,0.6659999999999999,6,-11.152999999999999,1,0.226,0.0017100000000000001,0.08800000000000001,0.7959999999999999,78.96,310787,4,1993,476.0,0.6176470588235294,-0.19938625000000001,0.1625,0.325,0.5125
OutKast,Southernplayalisticadillacmuzik,Player's Ball,1RXEb6UTxJ05RffnAWfUOE,58,0.857,0.764,1,-6.303999999999999,1,0.24600000000000002,0.0,0.425,0.578,93.071,261267,4,1993,472.0,0.6080508474576272,0.04502317073170731,0.23170731707317074,0.6463414634146342,0.12195121951219512
Snoop Dogg,Doggystyle,Murder Was The Case (Death After Visualizing Eternity) (feat. Dat Nigga Daz),2xJFeacoY560w4KQePkdiL,23,0.4,0.841,11,-5.367999999999999,1,0.14800000000000002,0.0,0.33799999999999997,0.62,91.162,218187,4,1993,383.0,0.6422976501305483,-0.07709302325581398,0.22093023255813954,0.47674418604651164,0.3023255813953488
MC Breed,The New Breed,Gotta Get Mine,5oqSr3rehtGgZyDh0LCSA7,57,0.855,0.52,7,-12.07,1,0.268,0.0,0.114,0.402,92.45100000000001,264760,4,1993,415.0,0.5662650602409639,-0.07471842105263159,0.14473684210526316,0.5789473684210527,0.27631578947368424
Dru Down,Explicit Game,Pimp Of The Year,5f8KgDZ8aQKQii0U1qdRbC,48,0.9309999999999999,0.513,2,-4.655,1,0.263,0.00043499999999999995,0.272,0.3,101.064,254093,4,1993,396.0,0.5631313131313131,-0.07958117647058822,0.10588235294117647,0.6470588235294118,0.24705882352941178
Snoop Dogg,Doggystyle,Who Am I (What's My Name)?,12CdB878c6n94tTlNfPcCv,70,0.6920000000000001,0.833,7,-3.9739999999999998,1,0.0492,1.98e-05,0.515,0.6920000000000001,96.814,246320,4,1993,322.0,0.468944099378882,0.05872957746478874,0.28169014084507044,0.5352112676056338,0.18309859154929578
Del The Funky Homosapien,No Need For Alarm,Catch a Bad One,0vhiGS9UsCMq4RF0WgB6gP,37,0.732,0.584,7,-10.981,1,0.33,0.0199,0.185,0.565,97.38,226293,4,1993,357.0,0.7450980392156863,-0.030740579710144923,0.30434782608695654,0.391304347826087,0.30434782608695654
Mac Mall,Illegal Business?,Sic Wit Tis,38rhng3wpDjEboDWVDDrB4,33,0.682,0.629,1,-9.503,1,0.34600000000000003,0.0,0.331,0.6809999999999999,178.028,280240,4,1993,580.0,0.45689655172413796,-0.2523033707865168,0.1348314606741573,0.3146067415730337,0.550561797752809
8Ball & MJG,Comin Out Hard,Mr. Big,28hioqqNRQD0izp6KOXpoH,41,0.856,0.5,1,-10.697000000000001,1,0.285,0.0019199999999999998,0.0915,0.389,155.863,353853,4,1993,390.0,0.6282051282051282,-0.15320273972602738,0.0958904109589041,0.5342465753424658,0.3698630136986301
2Pac,R U Still Down? [Remember Me],Definition Of A Thug Nigga,3eI66NAcGuiWT7GPh7xL3u,38,0.823,0.902,6,-2.944,1,0.121,0.0,0.0921,0.615,92.27,249133,4,1993,400.0,0.5125,-0.10343058823529411,0.08235294117647059,0.611764705882353,0.3058823529411765
Das EFX,Straight Up Sewaside,Freakit,1A4DjgWzJ839VdFCKE5hBD,28,0.8009999999999999,0.518,1,-12.054,1,0.314,3.65e-06,0.309,0.598,97.302,199493,4,1993,332.0,0.5120481927710844,0.13541607142857146,0.42857142857142855,0.4107142857142857,0.16071428571428573
Onyx,Bacdafucup,Slam,0W2mz7mvaBaEsC4rmoRNPn,60,0.8759999999999999,0.71,11,-12.908,1,0.34700000000000003,0.00312,0.9179999999999999,0.7240000000000001,98.305,218333,4,1993,407.0,0.5307125307125307,-0.15554430379746834,0.1518987341772152,0.4050632911392405,0.4430379746835443
Digable Planets,Reachin' (A New Refutation Of Time And Space),"Pacifics (Sdtrk ""N.Y. Is Red Hot"")",5esVkhazOeanQVdlJUkNpY,49,0.736,0.405,5,-16.561,0,0.316,0.009609999999999999,0.10800000000000001,0.8540000000000001,180.49599999999998,271373,4,1993,411.0,0.5644768856447688,0.08165479452054793,0.3150684931506849,0.5616438356164384,0.1232876712328767
Naughty By Nature,19 Naughty III,It's On,3lanCLtaKrSkKzMuiS2HNF,26,0.85,0.424,1,-13.818,1,0.287,0.0004980000000000001,0.272,0.502,103.02799999999999,304867,4,1993,282.0,0.5886524822695035,-0.075292,0.22,0.5,0.28
Too $hort,Get In Where You Fit In,Blowjob Betty,0JVoSlwaXTn3l67xhCwYml,42,0.887,0.539,10,-9.857000000000001,0,0.265,0.0,0.166,0.56,82.024,326040,4,1993,363.0,0.6115702479338843,-0.1698972602739726,0.1780821917808219,0.3561643835616438,0.4657534246575342
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Bring Da Ruckus,1v5cgIyffYtfEx0swttdoE,62,0.794,0.627,11,-9.431000000000001,1,0.36,0.0,0.35,0.518,87.554,251467,4,1993,429.0,0.5664335664335665,-0.13138235294117648,0.12941176470588237,0.5176470588235295,0.35294117647058826
Lords Of The Underground,Here Come The Lords,Madd Skillz,0X9q2KCgKIicUlv8PBUEVI,29,0.853,0.61,1,-7.034,1,0.248,0.114,0.0812,0.496,103.446,243733,4,1993,395.0,0.6430379746835443,-0.039276712328767116,0.2191780821917808,0.5068493150684932,0.273972602739726
Black Moon,Enta Da Stage,Niguz Talk Shit,0WvrocQ07JNvu9z3ptfOd4,28,0.758,0.514,3,-13.385,0,0.136,0.0005099999999999999,0.345,0.745,92.71600000000001,258973,4,1993,282.0,0.7198581560283688,-0.1987769230769231,0.15384615384615385,0.36538461538461536,0.4807692307692308
E-40,"Federal, Original Master Peace",Drought Season,2XBZtwrBvRBVAshb8wPYXI,13,0.826,0.541,0,-15.07,1,0.35600000000000004,0.0,0.0606,0.48100000000000004,92.2,262026,4,1993,617.0,0.5235008103727715,-0.12724607843137253,0.19607843137254902,0.3431372549019608,0.46078431372549017
2Pac,Strictly 4 My N.I.G.G.A.Z...,Holler If Ya' Hear Me,075Tqgr9VfBdeWz6PMF1Ck,46,0.8109999999999999,0.722,7,-10.765999999999998,1,0.11800000000000001,7.87e-05,0.35200000000000004,0.742,111.229,278173,4,1993,371.0,0.6037735849056604,-0.00898915662650602,0.20481927710843373,0.5060240963855421,0.2891566265060241
Eazy-E,It's On (Dr. Dre) 187um Killa,Real Muthaphuckkin G's,7q6lr1W6cmGWijl5kCv5RG,46,0.735,0.797,11,-4.611000000000001,0,0.285,0.0,0.62,0.731,170.44400000000002,332627,4,1993,568.0,0.4841549295774648,-0.09811083333333333,0.11666666666666667,0.5666666666666667,0.31666666666666665
King Tee,Tha Triflin' Album,Drunk Tekneek,1qBvZ9hgvHfmwX8azzQyK0,12,0.8320000000000001,0.764,10,-9.956,0,0.408,6.09e-06,0.414,0.7070000000000001,86.495,127867,4,1993,175.0,0.8171428571428572,-0.11247352941176472,0.11764705882352941,0.47058823529411764,0.4117647058823529
8Ball & MJG,Comin Out Hard,9 Little Millimeta Boys,2d1qiSnmzS5jiAAss3Svbr,37,0.8859999999999999,0.47100000000000003,11,-11.277999999999999,0,0.49700000000000005,0.0159,0.353,0.591,156.062,317827,4,1993,527.0,0.5616698292220114,-0.17042696629213483,0.19101123595505617,0.30337078651685395,0.5056179775280899
Cypress Hill,Black Sunday,I Wanna Get High,2icouZbxwqoL63gHhO2vGd,57,0.7340000000000001,0.525,3,-14.825999999999999,0,0.27,0.303,0.0734,0.332,81.936,174600,4,1993,122.0,0.5901639344262295,0.052706896551724135,0.1724137931034483,0.7931034482758621,0.034482758620689655
Run–D.M.C.,Down With The King,Down With the King,2oSPru8bef0EMhF9tvMSLn,51,0.7859999999999999,0.637,1,-12.149000000000001,1,0.205,1.31e-05,0.415,0.762,96.023,302627,4,1993,443.0,0.54627539503386,0.004053763440860213,0.12903225806451613,0.7526881720430108,0.11827956989247312
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Shame On a Nigga,7IwURvEfVcdxUCjLKUu6sv,60,0.889,0.466,1,-10.74,1,0.36,7.44e-06,0.384,0.40299999999999997,100.17,177067,4,1993,289.0,0.6193771626297578,-0.08174615384615384,0.23076923076923078,0.4423076923076923,0.3269230769230769
The Coup,Kill My Landlord,Not Yet Free,606MDj0IEgAdfDfmNAseB3,17,0.782,0.3,0,-14.790999999999999,1,0.306,0.00013700000000000002,0.0949,0.591,82.208,373773,4,1993,336.0,0.7589285714285714,-0.09597627118644068,0.22033898305084745,0.423728813559322,0.3559322033898305
Snoop Dogg,Doggystyle,Lodi Dodi (feat. Nancy Fletcher),1VIOMgDwOjErwR6YQ5p1TG,22,0.503,0.764,8,-3.8,1,0.11699999999999999,0.0,0.278,0.635,78.078,301400,3,1993,424.0,0.6320754716981132,-0.031086585365853656,0.24390243902439024,0.45121951219512196,0.3048780487804878
Freestyle Fellowship,Innercity Griots,Danger,6BciWZrKEPOizpeX3fddxV,16,0.7609999999999999,0.877,11,-8.007,0,0.35600000000000004,0.0,0.258,0.767,104.226,236773,4,1993,226.0,0.7610619469026548,0.10789655172413795,0.3448275862068966,0.5344827586206896,0.1206896551724138
Intelligent Hoodlum,Tragedy: Saga Of A Hoodlum,The Posse (Shoot 'Em Up),3ELJVGi9vWwswWTnKLATTI,11,0.816,0.9059999999999999,2,-5.38,1,0.268,3.4899999999999995e-05,0.272,0.508,92.755,257227,4,1993,370.0,0.5540540540540541,-0.09365490196078433,0.11764705882352941,0.5588235294117647,0.3235294117647059
Spice 1,187 He Wrote,I'm The Fuckin' Murderer,7C9eLr1hnuYNi86kHTH2ja,24,0.8109999999999999,0.92,7,-4.88,1,0.172,0.0594,0.121,0.693,97.927,213667,4,1993,264.0,0.7196969696969697,-0.16424444444444444,0.06349206349206349,0.5396825396825397,0.3968253968253968
MC Lyte,Ain't No Other,Steady Fucking,7gJ5rNGfh0einaZPdog4mg,8,0.905,0.46799999999999997,1,-10.209,1,0.36200000000000004,0.0,0.0928,0.313,92.287,308160,4,1993,420.0,0.6095238095238096,-0.19879677419354838,0.10752688172043011,0.4731182795698925,0.41935483870967744
Cypress Hill,Black Sunday,Insane in the Brain,1oTHteQbmJw15rPxPVXUTv,70,0.897,0.612,11,-10.489,1,0.21100000000000002,0.18600000000000003,0.0894,0.767,102.305,208267,4,1993,246.0,0.5853658536585366,-0.1927796875,0.09375,0.296875,0.609375
King Tee,Tha Triflin' Album,On Tha Rox,5oOk8m74m3mDbJthxGvgZo,9,0.847,0.9179999999999999,7,-6.632999999999999,1,0.369,0.0,0.32899999999999996,0.894,91.72,109134,4,1993,197.0,0.8020304568527918,-0.07746756756756756,0.13513513513513514,0.5405405405405406,0.32432432432432434
Eazy-E,It's On (Dr. Dre) 187um Killa,Gimmie That Nutt,4cPhuLaWqn0TZCs71wSk6s,52,0.9470000000000001,0.8540000000000001,7,-5.0280000000000005,1,0.21600000000000003,0.00011599999999999999,0.161,0.775,104.07600000000001,175240,4,1993,316.0,0.33544303797468356,-0.0008086956521739124,0.13043478260869565,0.7681159420289855,0.10144927536231885
Big L,Devil's Son EP (From the Vaults),Devil's Son,3CEPOpg8YoulP1iueWDiPm,42,0.6920000000000001,0.6859999999999999,2,-9.257,1,0.213,0.000343,0.10400000000000001,0.932,90.46600000000001,240367,4,1993,441.0,0.546485260770975,-0.30572048192771084,0.0963855421686747,0.3614457831325301,0.5421686746987951
A Tribe Called Quest,Midnight Marauders,Midnight,7g2BVLCYyGeVHGGFajED65,45,0.805,0.539,1,-9.968,1,0.179,0.513,0.107,0.6,94.58,265027,4,1993,399.0,0.6115288220551378,0.025306024096385542,0.1927710843373494,0.6626506024096386,0.14457831325301204
Ultramagnetic MC's,The Four Horsemen,Checkin My Style,38NSqI9Vaw5SikdMgdRNth,9,0.679,0.509,1,-13.696,1,0.353,0.0,0.672,0.396,171.563,151907,4,1993,256.0,0.62890625,0.058784615384615393,0.25,0.6923076923076923,0.057692307692307696
KRS-One,Return of the Boom Bap,Sound of da Police,3Y6XWs8xMlCngyIxNOFnsp,62,0.794,0.95,1,-8.78,1,0.294,7.709999999999999e-05,0.133,0.324,94.984,258507,4,1993,414.0,0.4492753623188406,0.022528888888888883,0.2,0.6666666666666666,0.13333333333333333
Leaders of the New School,T.I.M.E.,What's Next,0X06nn0gRGHmiZaRajBQCg,32,0.835,0.86,1,-10.372,1,0.256,7.03e-05,0.7,0.718,97.98700000000001,277507,4,1993,498.0,0.714859437751004,0.09556565656565656,0.37373737373737376,0.43434343434343436,0.1919191919191919
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Wu-Tang: 7th Chamber,5wcY4XgawQ2se8VjDLhedQ,54,0.857,0.488,6,-11.457,1,0.40700000000000003,2.82e-06,0.284,0.621,92.102,366307,4,1993,760.0,0.531578947368421,-0.09510289855072465,0.2608695652173913,0.32608695652173914,0.41304347826086957
Compton's Most Wanted,When We Wuz Bangin,Streiht Up Menace,2sXMYMpvGVJJBIwrzNf0Lr,49,0.7659999999999999,0.52,7,-9.371,1,0.105,0.0189,0.3,0.556,79.83800000000001,274840,4,1993,326.0,0.588957055214724,-0.1336514285714286,0.14285714285714285,0.4714285714285714,0.38571428571428573
Digable Planets,Reachin' (A New Refutation Of Time And Space),It's Good To Be Here,1ilIMHKW9EiojuRRqBuWfA,39,0.715,0.42700000000000005,10,-14.812999999999999,0,0.23600000000000002,0.0027300000000000002,0.512,0.456,103.29,306027,4,1993,294.0,0.7482993197278912,0.09794561403508772,0.3333333333333333,0.543859649122807,0.12280701754385964
Souls Of Mischief,93 'til Infinity,A Name I Call Myself,7gX6JfIHgPeiaTbfJeTU2K,32,0.636,0.684,4,-11.061,0,0.33799999999999997,1.22e-06,0.253,0.447,176.053,251400,4,1993,408.0,0.7058823529411765,-0.004288732394366197,0.28169014084507044,0.4788732394366197,0.23943661971830985
Tha Alkaholiks,21 & Over,Make Room,6LWpZmVDONqAqqf7fl8Lul,34,0.727,0.489,1,-7.98,1,0.302,0.0,0.0666,0.22699999999999998,96.413,208667,4,1993,453.0,0.5231788079470199,0.029652500000000005,0.2125,0.625,0.1625
Del The Funky Homosapien,No Need For Alarm,You're in Shambles,4fz8raityYVPiyNfkmFHf1,27,0.736,0.8,2,-8.046,1,0.21600000000000003,1.82e-06,0.0631,0.52,90.289,207040,4,1993,242.0,0.7148760330578512,0.0030400000000000036,0.275,0.4,0.325
Onyx,Bacdafucup,Bichasniguz,3EUmgRCOqHnuTle35mWJg9,29,0.87,0.478,1,-13.45,1,0.307,0.000206,0.294,0.342,96.052,234333,4,1993,447.0,0.5749440715883669,-0.21254938271604934,0.08641975308641975,0.5061728395061729,0.4074074074074074
Salt-N-Pepa,Very Necessary,Shoop,0Pu71wxadDlB8fJXfjIjeJ,67,0.9390000000000001,0.675,0,-7.232,1,0.21100000000000002,0.0,0.0565,0.795,96.91799999999999,248573,4,1993,401.0,0.5411471321695761,0.052849425287356325,0.26436781609195403,0.5862068965517241,0.14942528735632185
The Beatnuts,Street Level,Psycho Dwarf,7Mnj8HV8iwFcXE9Gzuqx8P,14,0.5529999999999999,0.902,1,-5.598,0,0.321,4.4e-06,0.0998,0.444,89.088,333440,4,1993,399.0,0.5839598997493735,-0.2485027027027027,0.16216216216216217,0.28378378378378377,0.5540540540540541
A Tribe Called Quest,Midnight Marauders,We Can Get Down,4tnbcPfOSZq5VAU67XxIdN,47,0.78,0.626,7,-9.99,1,0.19899999999999998,0.0122,0.501,0.667,93.945,259120,4,1993,400.0,0.5425,0.16547349397590363,0.3855421686746988,0.5421686746987951,0.07228915662650602
Scarface,The World Is Yours,Comin' Agg,5xugg2XwsD8NEOb5HacTtL,17,0.816,0.722,1,-11.58,1,0.312,0.0,0.152,0.7659999999999999,92.994,209800,4,1993,339.0,0.5752212389380531,-0.25526363636363636,0.12121212121212122,0.3939393939393939,0.48484848484848486
Mac Mall,Illegal Business?,Don't Wanna See Me,0JwRMFQkoNAj4P67oGuqDn,13,0.768,0.904,2,-6.39,1,0.185,0.0,0.73,0.511,97.995,306933,4,1993,490.0,0.563265306122449,-0.02575,0.16666666666666666,0.5888888888888889,0.24444444444444444
Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],Can It Be All So Simple / Intermission,1Mi6uegC4pRxQZw1CB5Fk9,52,0.677,0.252,7,-17.794,1,0.555,1.77e-06,0.23399999999999999,0.441,91.484,413000,4,1993,704.0,0.5113636363636364,-0.030043478260869564,0.2246376811594203,0.5507246376811594,0.2246376811594203
Ice Cube,Lethal Injection,You Know How We Do It - Remastered,2Ih217RCGAmyQR68Nn7Cqo,72,0.747,0.52,10,-10.523,0,0.0357,0.0537,0.142,0.601,92.869,232773,4,1993,1229.0,0.46541903986981287,0.00022259740259740403,0.09090909090909091,0.812987012987013,0.09610389610389611
8Ball & MJG,Comin Out Hard,Comin' Out Hard,4n3i8iYdTpOHUTf3BmGmaF,36,0.883,0.563,1,-11.517999999999999,1,0.253,0.01,0.0961,0.743,86.90700000000001,270293,4,1993,399.0,0.5939849624060151,-0.05048555555555555,0.15555555555555556,0.37777777777777777,0.4666666666666667
A Tribe Called Quest,Midnight Marauders,Sucka Nigga,4DcrZLp19qTdBYqc2bgj3V,51,0.774,0.623,1,-10.372,1,0.324,0.0,0.385,0.9279999999999999,86.23299999999999,245080,4,1993,358.0,0.3994413407821229,-0.023612307692307696,0.15384615384615385,0.6,0.24615384615384617
Erick Sermon,No Pressure,Stay Real,6jaj4k0LwFLy1q54TXZZpZ,46,0.789,0.757,11,-9.232000000000001,1,0.215,0.006959999999999999,0.625,0.525,97.641,235467,4,1993,342.0,0.6695906432748538,0.04931126760563381,0.30985915492957744,0.5211267605633803,0.16901408450704225
Masta Ace Incorporated,SlaughtaHouse,Crazy Drunken Style,6blpZcY0oBLOdl63ulX4kG,9,0.723,0.652,5,-10.600999999999999,0,0.384,2.3800000000000003e-05,0.0975,0.564,91.304,211160,4,1993,305.0,0.6360655737704918,-0.017920588235294112,0.22058823529411764,0.5588235294117647,0.22058823529411764
Casual,Fear Itself,That's How It Is,69Uya6V1e06nxIMfd7Bygm,20,0.664,0.52,1,-11.388,1,0.361,0.0072299999999999994,0.24600000000000002,0.6459999999999999,180.36,177040,4,1993,252.0,0.6904761904761905,-0.1682949152542373,0.1016949152542373,0.4915254237288136,0.4067796610169492
Naughty By Nature,19 Naughty III,19 Naughty III,01vOXGV7jqkyNAxGqGBs0T,27,0.738,0.5,7,-15.293,1,0.33799999999999997,0.00041900000000000005,0.0781,0.535,101.59,283600,4,1993,462.0,0.6558441558441559,-0.009307476635514015,0.21495327102803738,0.5700934579439252,0.21495327102803738
Ice Cube,Lethal Injection,Ghetto Bird - Remastered,6M3lqzrkzSKrBehkeAxTXc,51,0.764,0.8029999999999999,10,-8.697000000000001,0,0.16399999999999998,0.0184,0.386,0.423,92.06299999999999,231000,4,1993,7824.0,0.49003067484662577,0.02463255033557047,0.18624161073825504,0.662751677852349,0.15100671140939598
MC Lyte,Ain't No Other,Ruffneck,5BC50dLe7dZKVc3gPvJRx9,39,0.7090000000000001,0.902,1,-3.392,0,0.188,0.0,0.0219,0.878,204.317,237267,4,1993,287.0,0.6480836236933798,-0.007105263157894736,0.19298245614035087,0.6140350877192983,0.19298245614035087
Odd Squad,Fadanuf Fa Erybody,Smokin' Dat Weed,37LlGCZho7pUvEliI8Taci,9,0.7020000000000001,0.7290000000000001,8,-10.527999999999999,1,0.35700000000000004,0.0,0.31,0.7040000000000001,170.06099999999998,168827,4,1993,288.0,0.6666666666666666,-0.07168085106382978,0.2127659574468085,0.5106382978723404,0.2765957446808511
Mobb Deep,Juvenile Hell,Hit It From The Back,002Y43KuyegVesxqpdb7gX,22,0.83,0.525,9,-13.472000000000001,1,0.26,0.000103,0.1,0.66,98.355,254267,4,1993,330.0,0.5757575757575758,0.014921739130434784,0.3333333333333333,0.42028985507246375,0.2463768115942029
Fat Joe,Represent,You Must Be Out of Your Fuckin' Mind (feat. Apache & Kool G Rap),3Nez0s9Uy8RJJzpYgaN0c4,18,0.638,0.5589999999999999,11,-12.425999999999998,1,0.309,0.0011300000000000001,0.591,0.7959999999999999,179.407,237440,4,1993,405.0,0.5925925925925926,-0.1986380281690141,0.11267605633802817,0.38028169014084506,0.5070422535211268
Onyx,Bacdafucup,Here N' Now,4TkVGtXNazC2JvzEyyfYll,28,0.823,0.41600000000000004,11,-15.15,1,0.49700000000000005,1.06e-05,0.591,0.7709999999999999,96.17299999999999,220333,4,1993,424.0,0.6155660377358491,-0.19684285714285715,0.023809523809523808,0.6428571428571429,0.3333333333333333
Del The Funky Homosapien,No Need For Alarm,Wack M.C.'s,5Ti3ti2zVgl3sZfgcyROVD,22,0.892,0.436,7,-11.669,1,0.3,0.00021600000000000002,0.192,0.47700000000000004,92.22200000000001,215907,4,1993,426.0,0.45774647887323944,-0.12819999999999998,0.13186813186813187,0.5274725274725275,0.34065934065934067
Leaders of the New School,T.I.M.E.,Classic Material,7C0OyDOmUtME8aLqxtf7SZ,22,0.84,0.6990000000000001,8,-10.066,0,0.258,0.0,0.0974,0.875,92.78299999999999,239973,4,1993,391.0,0.6675191815856778,0.005117283950617284,0.13580246913580246,0.7407407407407407,0.12345679012345678
Big L,Devil's Son EP (From the Vaults),Da UnExpected Flava,6aEAWOAUOfIamGl2NsNH4R,31,0.92,0.6809999999999999,0,-9.316,0,0.281,0.0,0.0912,0.78,96.041,216063,4,1993,334.0,0.6167664670658682,-0.03716666666666666,0.17391304347826086,0.6086956521739131,0.21739130434782608
Lords Of The Underground,Here Come The Lords,Here Come The Lords,5RK7cBkPvATJ9f7XMXoaBl,35,0.884,0.643,4,-8.593,0,0.23800000000000002,1.77e-05,0.162,0.162,98.083,258000,4,1993,394.0,0.6040609137055838,0.031205263157894743,0.2236842105263158,0.618421052631579,0.15789473684210525
