card_id,name,type,desc,atk,def,level,race,attribute,scale,archetype,linkval,linkmarkers,image_url,image_url_small,ban_tcg,ban_ocg,ban_goat,staple,views,viewsweek,upvotes,downvotes,formats,treated_as,card_tcg_date,ocg_date,konami_id,has_effect,set_id,set_rarity,set_rarity_code,set_name,num_of_cards,set_tcg_date,set_code
40374923,Mammoth Graveyard,Normal Monster,A mammoth that protects the graves of its pack and is absolutely merciless when facing grave-robbers.,1200.0,800.0,3.0,Dinosaur,EARTH,,,,,https://images.ygoprodeck.com/images/cards/40374923.jpg,https://images.ygoprodeck.com/images/cards_small/40374923.jpg,,,,,218833,0,7,4,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4065.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-009
90357090,Silver Fang,Normal Monster,"A snow wolf that's beautiful to the eye, but absolutely vicious in battle.",1200.0,800.0,3.0,Beast,EARTH,,,,,https://images.ygoprodeck.com/images/cards/90357090.jpg,https://images.ygoprodeck.com/images/cards_small/90357090.jpg,,,,,211543,0,11,0,GOAT|OCG GOAT|Duel Links|Speed Duel|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4071.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-010
9159938,Dark Gray,Normal Monster,"Entirely gray, this beast has rarely been seen by mortal eyes.",800.0,900.0,3.0,Beast,EARTH,,,,,https://images.ygoprodeck.com/images/cards/9159938.jpg,https://images.ygoprodeck.com/images/cards_small/9159938.jpg,,,,,118480,0,5,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4119.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-011
77827521,Trial of Nightmare,Normal Monster,This fiend passes judgment on enemies that are locked in coffins.,1300.0,900.0,4.0,Fiend,DARK,,,,,https://images.ygoprodeck.com/images/cards/77827521.jpg,https://images.ygoprodeck.com/images/cards_small/77827521.jpg,,,,,256251,0,10,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4125.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-012
90963488,Nemuriko,Normal Monster,A child-like creature that controls a sleep fiend to beckon enemies into eternal slumber.,800.0,700.0,3.0,Spellcaster,DARK,,,,,https://images.ygoprodeck.com/images/cards/90963488.jpg,https://images.ygoprodeck.com/images/cards_small/90963488.jpg,,,,,102830,0,6,3,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4135.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-013
32864,The 13th Grave,Normal Monster,A zombie that suddenly appeared from plot #13 - an empty grave.,1200.0,900.0,3.0,Zombie,DARK,,,,,https://images.ygoprodeck.com/images/cards/32864.jpg,https://images.ygoprodeck.com/images/cards_small/32864.jpg,,,,,218404,0,11,4,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-18,4138.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-014
37421579,Charubin the Fire Knight,Fusion Monster,"""Monster Egg"" + ""Hinotama Soul""",1100.0,800.0,3.0,Pyro,FIRE,,,,,https://images.ygoprodeck.com/images/cards/37421579.jpg,https://images.ygoprodeck.com/images/cards_small/37421579.jpg,,,,,120472,0,6,0,GOAT|OCG GOAT|Duel Links|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4139.0,0,8d1bb889266b35581fb2812b9d5f4013,Rare,(R),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-015
34460851,Flame Manipulator,Normal Monster,"This Spellcaster attacks enemies with fire-related spells such as ""Sea of Flames"" and ""Wall of Fire"".",900.0,1000.0,3.0,Spellcaster,FIRE,,,,,https://images.ygoprodeck.com/images/cards/34460851.jpg,https://images.ygoprodeck.com/images/cards_small/34460851.jpg,,,,,158463,0,8,1,GOAT|Speed Duel|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4148.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-016
36121917,Monster Egg,Normal Monster,A warrior hidden within an egg that attacks enemies by flinging eggshells.,600.0,900.0,3.0,Warrior,EARTH,,,,,https://images.ygoprodeck.com/images/cards/36121917.jpg,https://images.ygoprodeck.com/images/cards_small/36121917.jpg,,,,,116536,0,3,0,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4153.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-017
53293545,Firegrass,Normal Monster,A fire-breathing plant found growing near volcanoes.,700.0,600.0,2.0,Plant,EARTH,,,,,https://images.ygoprodeck.com/images/cards/53293545.jpg,https://images.ygoprodeck.com/images/cards_small/53293545.jpg,,,,,106078,0,0,2,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4163.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-018
17881964,Darkfire Dragon,Fusion Monster,"""Firegrass"" + ""Petit Dragon""",1500.0,1250.0,4.0,Dragon,DARK,,,,,https://images.ygoprodeck.com/images/cards/17881964.jpg,https://images.ygoprodeck.com/images/cards_small/17881964.jpg,,,,,231284,26,7,4,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4174.0,0,8d1bb889266b35581fb2812b9d5f4013,Rare,(R),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-019
53375573,Dark King of the Abyss,Normal Monster,It's said that this King of the Netherworld once had the power to rule over the dark.,1200.0,800.0,3.0,Fiend,DARK,,,,,https://images.ygoprodeck.com/images/cards/53375573.jpg,https://images.ygoprodeck.com/images/cards_small/53375573.jpg,,,,,177129,0,9,3,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4175.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-020
2863439,Fiend Reflection #2,Normal Monster,A bird-beast that summons reinforcements with a hand mirror.,1100.0,1400.0,4.0,Winged Beast,LIGHT,,,,,https://images.ygoprodeck.com/images/cards/2863439.jpg,https://images.ygoprodeck.com/images/cards_small/2863439.jpg,,,,,207718,0,2,3,GOAT|OCG GOAT|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4192.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-021
1641882,Fusionist,Fusion Monster,"""Petit Angel"" + ""Mystical Sheep #2""",900.0,700.0,3.0,Beast,EARTH,,,,,https://images.ygoprodeck.com/images/cards/1641882.jpg,https://images.ygoprodeck.com/images/cards_small/1641882.jpg,,,,,164254,0,8,5,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4195.0,0,8d1bb889266b35581fb2812b9d5f4013,Rare,(R),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-022
37313348,Turtle Tiger,Normal Monster,A tiger encased in a protective shell that attacks with razor-sharp fangs.,1000.0,1500.0,4.0,Aqua,WATER,,,,,https://images.ygoprodeck.com/images/cards/37313348.jpg,https://images.ygoprodeck.com/images/cards_small/37313348.jpg,,,,,200663,0,5,2,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4199.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-023
75356564,Petit Dragon,Normal Monster,A very small dragon known for its vicious attacks.,600.0,700.0,2.0,Dragon,WIND,,,,,https://images.ygoprodeck.com/images/cards/75356564.jpg,https://images.ygoprodeck.com/images/cards_small/75356564.jpg,,,,,123716,0,8,0,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4206.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-024
38142739,Petit Angel,Normal Monster,A quick-moving and tiny fairy that's very difficult to hit.,600.0,900.0,3.0,Fairy,LIGHT,,,,,https://images.ygoprodeck.com/images/cards/38142739.jpg,https://images.ygoprodeck.com/images/cards_small/38142739.jpg,,,,,126849,26,7,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4214.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-025
96851799,Hinotama Soul,Normal Monster,An intensely hot flame creature that rams anything standing in its way.,600.0,500.0,2.0,Pyro,FIRE,,,,,https://images.ygoprodeck.com/images/cards/96851799.jpg,https://images.ygoprodeck.com/images/cards_small/96851799.jpg,,,,,111712,0,2,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4216.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-026
85639257,Aqua Madoor,Normal Monster,A wizard of the waters that conjures a liquid wall to crush any enemies that oppose him.,1200.0,2000.0,4.0,Spellcaster,WATER,,Madoor,,,https://images.ygoprodeck.com/images/cards/85639257.jpg,https://images.ygoprodeck.com/images/cards_small/85639257.jpg,,,,,254846,0,12,3,GOAT|OCG GOAT|Duel Links|Speed Duel|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4219.0,0,8d1bb889266b35581fb2812b9d5f4013,Rare,(R),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-027
15401633,Kagemusha of the Blue Flame,Normal Monster,"Serving as a double for the Ruler of the Blue Flame, he's a master swordsman that wields a fine blade.",800.0,400.0,2.0,Warrior,EARTH,,,,,https://images.ygoprodeck.com/images/cards/15401633.jpg,https://images.ygoprodeck.com/images/cards_small/15401633.jpg,,,,,138702,0,3,2,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4220.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-028
58528964,Flame Ghost,Fusion Monster,"""Skull Servant"" + ""Dissolverock""",1000.0,800.0,3.0,Zombie,DARK,,Skull Servant,,,https://images.ygoprodeck.com/images/cards/58528964.jpg,https://images.ygoprodeck.com/images/cards_small/58528964.jpg,,,,,167872,26,8,0,GOAT|OCG GOAT|Duel Links|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4221.0,0,8d1bb889266b35581fb2812b9d5f4013,Rare,(R),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-029
57305373,Two-Mouth Darkruler,Normal Monster,"A dinosaur with two deadly jaws, it stores electricity in its horn and releases high voltage bolts from the mouth on its back.",900.0,700.0,3.0,Dinosaur,EARTH,,,,,https://images.ygoprodeck.com/images/cards/57305373.jpg,https://images.ygoprodeck.com/images/cards_small/57305373.jpg,,,,,130738,0,1,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4224.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-030
40826495,Dissolverock,Normal Monster,"A monster born in the lava pits, it generates intense heat that can melt away its enemies.",900.0,1000.0,3.0,Rock,EARTH,,,,,https://images.ygoprodeck.com/images/cards/40826495.jpg,https://images.ygoprodeck.com/images/cards_small/40826495.jpg,,,,,115492,0,6,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4250.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-031
39004808,Root Water,Normal Monster,An amphibian capable of calling up a massive tidal wave from the dark seas to wipe out enemy monsters.,900.0,800.0,3.0,Fish,WATER,,,,,https://images.ygoprodeck.com/images/cards/39004808.jpg,https://images.ygoprodeck.com/images/cards_small/39004808.jpg,,,,,119417,0,3,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4253.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-032
18710707,The Furious Sea King,Normal Monster,"Grand King of the Seven Seas, he's able to summon massive tidal waves to drown the enemy.",800.0,700.0,3.0,Aqua,WATER,,,,,https://images.ygoprodeck.com/images/cards/18710707.jpg,https://images.ygoprodeck.com/images/cards_small/18710707.jpg,,,,,132993,0,4,0,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4271.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-033
22910685,Green Phantom King,Normal Monster,"This youthful king of the forests lives in a green world, abundant with trees and wildlife.",500.0,1600.0,3.0,Plant,EARTH,,,,,https://images.ygoprodeck.com/images/cards/22910685.jpg,https://images.ygoprodeck.com/images/cards_small/22910685.jpg,,,,,194423,0,6,0,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4280.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-034
85309439,Ray & Temperature,Normal Monster,The Sun and the North Wind join hands to deliver a devastating combination of heat and gale-force winds.,1000.0,1000.0,3.0,Fairy,LIGHT,,,,,https://images.ygoprodeck.com/images/cards/85309439.jpg,https://images.ygoprodeck.com/images/cards_small/85309439.jpg,,,,,128690,0,6,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4282.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-035
84686841,King Fog,Normal Monster,A fiend that dwells in a blinding curtain of smoke.,1000.0,900.0,3.0,Fiend,DARK,,,,,https://images.ygoprodeck.com/images/cards/84686841.jpg,https://images.ygoprodeck.com/images/cards_small/84686841.jpg,,,,,130123,0,6,2,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-18,4285.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-036
83464209,Mystical Sheep #2,Normal Monster,A monstrous sheep with a long tail for hypnotizing enemies.,800.0,1000.0,3.0,Beast,EARTH,,,,,https://images.ygoprodeck.com/images/cards/83464209.jpg,https://images.ygoprodeck.com/images/cards_small/83464209.jpg,,,,,117649,0,3,2,GOAT|OCG GOAT|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4288.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-037
44287299,Masaki the Legendary Swordsman,Normal Monster,Legendary swordmaster Masaki is a veteran of over 100 battles.,1100.0,1100.0,4.0,Warrior,EARTH,,,,,https://images.ygoprodeck.com/images/cards/44287299.jpg,https://images.ygoprodeck.com/images/cards_small/44287299.jpg,,,,,233542,0,4,1,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4299.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-038
85705804,Kurama,Normal Monster,A vicious bird that attacks from the skies with its whip-like tail.,800.0,800.0,3.0,Winged Beast,WIND,,,,,https://images.ygoprodeck.com/images/cards/85705804.jpg,https://images.ygoprodeck.com/images/cards_small/85705804.jpg,,,,,128284,0,2,0,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4306.0,0,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-039
50045299,Dragon Capture Jar,Trap Card,"Change all face-up Dragon-Type monsters on the field to Defense Position, also they cannot change their battle positions.",,,,Continuous,,,,,,https://images.ygoprodeck.com/images/cards/50045299.jpg,https://images.ygoprodeck.com/images/cards_small/50045299.jpg,,,,,213656,26,12,1,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4335.0,1,8d1bb889266b35581fb2812b9d5f4013,Rare,(R),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-045
87430998,Forest,Spell Card,"All Insect, Beast, Plant, and Beast-Warrior monsters on the field gain 200 ATK/DEF.",,,,Field,,,,,,https://images.ygoprodeck.com/images/cards/87430998.jpg,https://images.ygoprodeck.com/images/cards_small/87430998.jpg,,,,,268017,0,6,0,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4336.0,1,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-046
23424603,Wasteland,Spell Card,"All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.",,,,Field,,,,,,https://images.ygoprodeck.com/images/cards/23424603.jpg,https://images.ygoprodeck.com/images/cards_small/23424603.jpg,,,,,269614,0,1,2,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4337.0,1,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-047
50913601,Mountain,Spell Card,"All Dragon, Winged Beast, and Thunder monsters on the field gain 200 ATK/DEF.",,,,Field,,,,,,https://images.ygoprodeck.com/images/cards/50913601.jpg,https://images.ygoprodeck.com/images/cards_small/50913601.jpg,,,,,302910,0,6,1,GOAT|Speed Duel|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4338.0,1,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-048
86318356,Sogen,Spell Card,All Warrior and Beast-Warrior monsters on the field gain 200 ATK/DEF.,,,,Field,,,,,,https://images.ygoprodeck.com/images/cards/86318356.jpg,https://images.ygoprodeck.com/images/cards_small/86318356.jpg,,,,,252236,0,9,0,GOAT|Speed Duel|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4339.0,1,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-049
22702055,Umi,Spell Card,"All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF.",,,,Field,,,Umi,,,https://images.ygoprodeck.com/images/cards/22702055.jpg,https://images.ygoprodeck.com/images/cards_small/22702055.jpg,,,,,266056,0,13,2,GOAT|OCG GOAT|Speed Duel|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,Umi,2002-03-08,1999-03-06,4340.0,1,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-050
59197169,Yami,Spell Card,"All Fiend and Spellcaster monsters on the field gain 200 ATK/DEF, also all Fairy monsters on the field lose 200 ATK/DEF.",,,,Field,,,,,,https://images.ygoprodeck.com/images/cards/59197169.jpg,https://images.ygoprodeck.com/images/cards_small/59197169.jpg,,,,,311767,0,8,2,GOAT|Speed Duel|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-03-06,4341.0,1,8d1bb889266b35581fb2812b9d5f4013,Common,(C),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-051
53129443,Dark Hole,Spell Card,Destroy all monsters on the field.,,,,Normal,,,Hole,,,https://images.ygoprodeck.com/images/cards/53129443.jpg,https://images.ygoprodeck.com/images/cards_small/53129443.jpg,,,Banned,Yes,965871,26,68,11,GOAT|OCG GOAT|Duel Links|Common Charity|Edison|TCG|OCG|Master Duel,,2002-03-08,1999-02-04,4342.0,1,8d1bb889266b35581fb2812b9d5f4013,Super Rare,(SR),Legend of Blue Eyes White Dragon,355,2002-03-08,LOB-052
