product,store,date,demand
cordless screwdriver_1,Store_1,2023-07-24,69.0
cordless screwdriver_1,Store_1,2023-07-31,52.0
cordless screwdriver_1,Store_1,2023-08-07,70.0
cordless screwdriver_1,Store_1,2023-08-14,78.0
cordless screwdriver_1,Store_1,2023-08-21,76.0
cordless screwdriver_1,Store_1,2023-08-28,78.0
cordless screwdriver_1,Store_1,2023-09-04,109.0
cordless screwdriver_1,Store_1,2023-09-11,87.0
cordless screwdriver_1,Store_1,2023-09-18,93.0
cordless screwdriver_1,Store_1,2023-09-25,115.0
cordless screwdriver_1,Store_1,2023-10-02,67.0
cordless screwdriver_1,Store_1,2023-10-09,69.0
cordless screwdriver_1,Store_1,2023-10-16,102.0
cordless screwdriver_1,Store_1,2023-10-23,64.0
cordless screwdriver_1,Store_1,2023-10-30,76.0
cordless screwdriver_1,Store_1,2023-11-06,96.0
cordless screwdriver_1,Store_1,2023-11-13,87.0
cordless screwdriver_1,Store_1,2023-11-20,102.0
cordless screwdriver_1,Store_1,2023-11-27,103.0
cordless screwdriver_1,Store_1,2023-12-04,98.0
cordless screwdriver_1,Store_1,2023-12-11,77.0
cordless screwdriver_1,Store_1,2023-12-18,92.0
cordless screwdriver_1,Store_1,2023-12-25,84.0
cordless screwdriver_1,Store_1,2024-01-01,60.0
cordless screwdriver_1,Store_1,2024-01-08,96.0
cordless screwdriver_1,Store_1,2024-01-15,88.0
cordless screwdriver_1,Store_1,2024-01-22,77.0
cordless screwdriver_1,Store_1,2024-01-29,81.0
cordless screwdriver_1,Store_1,2024-02-05,64.0
cordless screwdriver_1,Store_1,2024-02-12,77.0
cordless screwdriver_1,Store_1,2024-02-19,81.0
cordless screwdriver_1,Store_1,2024-02-26,64.0
cordless screwdriver_1,Store_1,2024-03-04,92.0
cordless screwdriver_1,Store_1,2024-03-11,66.0
cordless screwdriver_1,Store_1,2024-03-18,48.0
cordless screwdriver_1,Store_1,2024-03-25,89.0
cordless screwdriver_1,Store_1,2024-04-01,67.0
cordless screwdriver_1,Store_1,2024-04-08,70.0
cordless screwdriver_1,Store_1,2024-04-15,70.0
cordless screwdriver_1,Store_1,2024-04-22,54.0
cordless screwdriver_1,Store_1,2024-04-29,89.0
cordless screwdriver_1,Store_1,2024-05-06,66.0
cordless screwdriver_1,Store_1,2024-05-13,93.0
cordless screwdriver_1,Store_1,2024-05-20,94.0
cordless screwdriver_1,Store_1,2024-05-27,74.0
cordless screwdriver_1,Store_1,2024-06-03,71.0
cordless screwdriver_1,Store_1,2024-06-10,68.0
cordless screwdriver_1,Store_1,2024-06-17,58.0
cordless screwdriver_1,Store_1,2024-06-24,96.0
cordless screwdriver_1,Store_1,2024-07-01,79.0
cordless screwdriver_1,Store_1,2024-07-08,91.0
cordless screwdriver_1,Store_1,2024-07-15,71.0
cordless screwdriver_1,Store_1,2024-07-22,79.0
cordless screwdriver_1,Store_1,2024-07-29,94.0
cordless screwdriver_1,Store_1,2024-08-05,71.0
cordless screwdriver_1,Store_1,2024-08-12,92.0
cordless screwdriver_1,Store_1,2024-08-19,69.0
cordless screwdriver_1,Store_1,2024-08-26,59.0
cordless screwdriver_1,Store_1,2024-09-02,82.0
cordless screwdriver_1,Store_1,2024-09-09,67.0
cordless screwdriver_1,Store_1,2024-09-16,81.0
cordless screwdriver_1,Store_1,2024-09-23,55.0
cordless screwdriver_1,Store_1,2024-09-30,82.0
cordless screwdriver_1,Store_1,2024-10-07,110.0
cordless screwdriver_1,Store_1,2024-10-14,75.0
cordless screwdriver_1,Store_1,2024-10-21,85.0
